exp_id	timestamp	target_day	concept	qa_score	judge_score	combined_score	verdict	change_summary	prompts_hash
0000	2026-03-13T07:28:19.153403+00:00	monday	Jalapeño Corn Dog Bites	89	n/a	89.0	BASELINE	original prompts	2d604e53
0001	2026-03-13T07:29:23.390734+00:00	monday	Jalapeño Corn Dog Bites	94	n/a	94.0	KEEP	    "- Never address someone by name in your message. Just talk."	395070b9
0002	2026-03-13T07:30:18.410894+00:00	monday	Jalapeño Corn Dog Bites	96	n/a	96.0	KEEP	    "- NEVER use curly quotes. Use straight apostrophes and straight quotes only."	3dce8156
0000	2026-03-13T07:35:34.993895+00:00	tuesday	Jalapeño Corn Dog Bites	91	n/a	91.0	BASELINE	original prompts	3dce8156
0001	2026-03-13T07:36:32.948110+00:00	tuesday	Jalapeño Corn Dog Bites	88	n/a	88.0	DISCARD	    "- Never start your message with 'I' as the first word."	d7efb68f
0002	2026-03-13T07:37:30.637325+00:00	tuesday	Jalapeño Corn Dog Bites	84	n/a	84.0	DISCARD	no visible change	f7351371
0000	2026-03-13T16:56:10.959351+00:00	monday	Jalapeño Corn Dog Bites	73	4	59.8	BASELINE	original prompts	3dce8156
0001	2026-03-13T16:57:13.294061+00:00	monday	Jalapeño Corn Dog Bites	78	6	70.8	KEEP	        "- Signature phrases are spice, not default. Use at most once or twice a week.\n"	8cbbcd57
0002	2026-03-13T16:58:28.613904+00:00	monday	Jalapeño Corn Dog Bites	91	6	78.6	KEEP	        f"INTERNAL CONTRADICTIONS (these make you human - lean into them):\n"	b310b5ad
0003	2026-03-13T16:59:29.569551+00:00	monday	Jalapeño Corn Dog Bites	76	3	57.6	DISCARD	no visible change	3cb3336c
0004	2026-03-13T17:00:39.147235+00:00	monday	Jalapeño Corn Dog Bites	88	n/a	88.0	KEEP	no visible change	3cb3336c
0005	2026-03-13T17:01:32.656624+00:00	monday	Jalapeño Corn Dog Bites	78	n/a	78.0	DISCARD	        "- Don't start your message by agreeing with the previous person. Push back, redirect, or add something new."	601c0aa1
0006	2026-03-13T17:02:25.585643+00:00	monday	Jalapeño Corn Dog Bites	80	n/a	80.0	DISCARD	        f"TRIGGERS (things that make you react strongly): {', '.join(triggers)}\n\n"	76dcf92a
0007	2026-03-13T17:03:22.137330+00:00	monday	Jalapeño Corn Dog Bites	95	n/a	95.0	KEEP	no visible change	9a2cfac0
0008	2026-03-13T17:04:34.791584+00:00	monday	Jalapeño Corn Dog Bites	88	n/a	88.0	DISCARD	        "Cornmeal needs to be coarser or the texture just dies.",	b12eb1f2
0009	2026-03-13T17:05:25.213470+00:00	monday	Jalapeño Corn Dog Bites	86	n/a	86.0	DISCARD	        "- React to the specific food being discussed. Name an ingredient, technique, or texture problem.\n"	0e3dab83
0010	2026-03-13T17:06:18.080949+00:00	monday	Jalapeño Corn Dog Bites	87	n/a	87.0	DISCARD	no visible change	53bce40e
0011	2026-03-13T17:07:31.172766+00:00	monday	Jalapeño Corn Dog Bites	96	n/a	96.0	KEEP	        "Use plain hyphens and straight apostrophes only.\n"	3f721e1e
0012	2026-03-13T17:08:50.828153+00:00	monday	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	        "- If you have nothing new to add, ask a question or poke at someone else's assumption."	77460f88
