"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://muffinpanrecipes.com/","text/html; charset=utf-8","200","OK","Indexable","","Muffin Pan Recipes | Editorial Cookery","38","338","Gourmet, mathematically-scaled recipes designed exclusively for muffin tins. Breakfast, Savory, and Sweet single-serving meals.","127","787","","0","Muffin Pan Recipes","18","Recipes","7","","0","","","","https://muffinpanrecipes.com/","","","","","","15804","4827","4827","0.715","","19","6","3.167","83.400","Easy","1.255","0","0","","69","35","0","97.220","2","2","0","0","0","0","","","","","e21b771b84a4324ffe23fa459a790830","0.075","Sat, 22 Aug 2026 08:21:02 GMT","","","","en","1.1","","","","","","https://muffinpanrecipes.com/","2026-08-24 12:34:56"
"https://muffinpanrecipes.com/assets/site.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.296","Mon, 24 Aug 2026 16:34:45 GMT","","","","","1.1","","","","","","https://muffinpanrecipes.com/assets/site.css","2026-08-24 12:34:57"
"https://muffinpanrecipes.com/this-week","text/html; charset=utf-8","200","OK","Indexable","","Lemon Ricotta Polenta Cups | Muffin Pan Recipes","47","442","These tender Italian-inspired cups layer a crisp, buttery polenta base with a creamy lemon-ricotta custard that bakes up just set and lightly golden. Each round, molded portion pops out of the tin as a self-contained, cheesecake-adjacent bite with a pleasantly sandy cornmeal crust and bright citrus finish. Serve warm or at room temperature with a dusting of powdered sugar and a few fresh berries.","399","2444","","0","Lemon Ricotta Polenta Cups","26","Why Muffin Pans?","16","How This Recipe Was Made","24","","","","","","","","","","19113","5289","5289","0.784","","1202","211","5.697","89.989","Easy","35.808","1","0","","2","2","0","5.560","7","6","0","0","0","0","","","","","9d47c5707ea67074f81e33829da05c93","0.322","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/this-week","2026-08-24 12:34:57"
"https://muffinpanrecipes.com/recipes","text/html; charset=utf-8","200","OK","Indexable","","All Muffin Pan Recipes","22","201","Browse every muffin-pan recipe — gourmet, mathematically-scaled single-serving Breakfast, Savory, Sweet, and Party bakes.","121","767","","0","All Muffin Pan Recipes","22","Breakfast","9","Savory","6","","","","https://muffinpanrecipes.com/recipes","","","","","","24702","5971","5971","0.885","","1410","179","7.877","66.600","Normal","36.172","1","0","","1","1","0","2.780","34","34","0","0","0","0","","","","","1c2c8c617ec4759a2b38c662c25d3197","0.401","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes","2026-08-24 12:34:57"
"https://muffinpanrecipes.com/recipes/mini-lemon-meringue-cups","text/html; charset=utf-8","200","OK","Indexable","","Mini Lemon Meringue Cups | Muffin Pan Recipes","45","432","These mini lemon meringue cups give you all the bright, tart snap of a classic lemon meringue pie in crisp, buttery, handheld portions. A shortbread-style crust, sharp lemon curd, and toasted marshmallowy meringue are built right in a standard 12-cup muffin tin - no tart rings, no drama.","288","1752","","0","Mini Lemon Meringue Cups","24","Why Muffin Pans?","16","","0","","","","https://muffinpanrecipes.com/recipes/mini-lemon-meringue-cups","","","","","","28186","6267","6267","0.929","","1420","215","6.605","100.000","Very Easy","26.920","2","1","","4","4","0","11.110","6","5","0","0","0","0","","","","","714cb4758569a219213a4ae9ca785de3","0.290","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/mini-lemon-meringue-cups","2026-08-24 12:34:57"
"https://muffinpanrecipes.com/recipes/teriyaki-salmon-rice-cups","text/html; charset=utf-8","200","OK","Indexable","","Teriyaki Salmon Rice Cups | Muffin Pan Recipes","46","424","These teriyaki salmon rice cups tuck soy-glazed salmon, sticky rice, and scallions into crisp-edged, molded rounds that lift cleanly from the pan. They eat like handheld sushi bowls with a glossy homemade teriyaki glaze, a touch of sesame, and a cool cucumber topping.","268","1644","","0","Teriyaki Salmon Rice Cups","25","Why Muffin Pans?","16","How This Recipe Was Made","24","","","","https://muffinpanrecipes.com/recipes/teriyaki-salmon-rice-cups","","","","","","41785","7855","7855","1.164","","1943","335","5.800","93.010","Very Easy","26.197","2","1","","2","2","0","5.560","7","6","0","0","0","0","","","","","ec51d08d8151b92c01428c4f2c64b03","0.347","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/teriyaki-salmon-rice-cups","2026-08-24 12:34:57"
"https://muffinpanrecipes.com/recipes/baked-oatmeal-cups","text/html; charset=utf-8","200","OK","Indexable","","Baked Oatmeal Breakfast Cups | Muffin Pan Recipes","49","466","Hearty, portable oatmeal portions that are naturally sweetened and perfect for a quick morning fuel.","100","616","","0","Baked Oatmeal Breakfast Cups","28","Why Muffin Pans?","16","","0","","","","https://muffinpanrecipes.com/recipes/baked-oatmeal-cups","","","","","","7856","2268","2268","0.336","","89","26","3.423","100.000","Very Easy","8.631","2","1","","18","18","0","50.000","6","5","0","0","0","0","","","","","8d02c799d4ef23d0838fc682c9813e53","0.501","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/baked-oatmeal-cups","2026-08-24 12:34:57"
"https://muffinpanrecipes.com/recipes/maple-hash-brown-nests","text/html; charset=utf-8","200","OK","Indexable","","Maple Hash Brown Nests | Muffin Pan Recipes","43","412","These maple-scented hash brown nests bake up into crisp-edged, tender-centered portions that stay delicious for days. Shredded potatoes form a golden crust that cradles savory breakfast pork, peppers, and a just-set egg layer. They're sturdy enough to grab on busy mornings, but nuanced enough in flavor that you'll still look forward to them by Thursday.","355","2195","","0","Maple Hash Brown Nests","22","Why Muffin Pans?","16","How This Recipe Was Made","24","","","","https://muffinpanrecipes.com/recipes/maple-hash-brown-nests","","","","","","40667","7642","7642","1.133","","1847","319","5.790","94.006","Very Easy","25.788","2","1","","6","6","0","16.670","7","6","0","0","0","0","","","","","d3a2affde7d2121079dc8542b8f8731f","0.416","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/maple-hash-brown-nests","2026-08-24 12:34:57"
"https://muffinpanrecipes.com/recipes/jumbo-cornbread-bites","text/html; charset=utf-8","200","OK","Indexable","","Jumbo Cornbread Honey Bites | Muffin Pan Recipes","48","459","Massive, moist, and sweet cornbread muffins for chili or BBQ.","61","379","","0","Jumbo Cornbread Honey Bites","27","Why Muffin Pans?","16","","0","","","","https://muffinpanrecipes.com/recipes/jumbo-cornbread-bites","","","","","","7666","2242","2242","0.332","","83","25","3.320","100.000","Very Easy","8.311","2","1","","16","16","0","44.440","6","5","0","0","0","0","","","","","956f918b65ad656d841a9829b024cdf5","1.231","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/jumbo-cornbread-bites","2026-08-24 12:34:58"
"https://muffinpanrecipes.com/recipes/savory-bacon-biscuit-rounds","text/html; charset=utf-8","200","OK","Indexable","","Savory Bacon Biscuit Rounds | Muffin Pan Recipes","48","444","These hearty biscuit rounds bake up as individual portions layered with smoky bacon, sharp cheddar, and scallions - sturdy enough for grab-and-go breakfasts all week. They reheat beautifully and eat like a cross between a biscuit and a breakfast sandwich without the fuss of assembly.","284","1758","","0","Savory Bacon Biscuit Rounds","27","Why Muffin Pans?","16","How This Recipe Was Made","24","","","","https://muffinpanrecipes.com/recipes/savory-bacon-biscuit-rounds","","","","","","42463","7747","7747","1.148","","1909","327","5.838","92.556","Very Easy","25.502","2","1","","2","2","0","5.560","7","6","0","0","0","0","","","","","212ccaa28d6b4417581316a0f8ab1f4a","1.179","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/savory-bacon-biscuit-rounds","2026-08-24 12:34:58"
