exp_id	timestamp	concept	qa_score	judge_score	combined_score	verdict	change_summary	prompts_hash	highlights_preview
0000	2026-03-13T20:41:03.895926+00:00	Jalapeño Corn Dog Bites	90	n/a	90.0	BASELINE	no compression (baseline)	b3c9eb2b	(none)
0001	2026-03-13T20:41:20.133623+00:00	Jalapeño Corn Dog Bites	94	n/a	94.0	INITIAL	default compression template	b3c9eb2b	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting takes of the jala
0002	2026-03-13T20:41:49.651015+00:00	Jalapeño Corn Dog Bites	93	n/a	93.0	DISCARD	    "- Preserve any direct quotes or memorable phrasings\n"	99f61b1b	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting takes of the jala
0003	2026-03-13T20:42:17.504859+00:00	Jalapeño Corn Dog Bites	95	n/a	95.0	KEEP	    "but let the week's history shape how characters speak and react."	0c6d8110	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0004	2026-03-13T20:42:43.437246+00:00	Jalapeño Corn Dog Bites	93	n/a	93.0	DISCARD	    "that could come to a head today, and any specific details (names, quantities, "	46709eac	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0005	2026-03-13T20:43:14.524758+00:00	Jalapeño Corn Dog Bites	95	n/a	95.0	DISCARD	        if has_tension and not summary.startswith("[OPEN]"):	dd57611d	Monday: [OPEN] Margaret questioned whether jalapeño corn dog | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0006	2026-03-13T20:43:45.863668+00:00	Jalapeño Corn Dog Bites	94	n/a	94.0	DISCARD	    "- If someone used a memorable phrase or strong opinion, quote it briefly\n"	32c57581	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0000	2026-03-13T20:47:01.677260+00:00	Jalapeño Corn Dog Bites	96	6	81.6	BASELINE	no compression (baseline)	0c6d8110	(none)
0001	2026-03-13T20:47:31.579604+00:00	Jalapeño Corn Dog Bites	79	5	67.4	INITIAL	default compression template	0c6d8110	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting takes of the jala
0002	2026-03-13T20:48:27.697632+00:00	Jalapeño Corn Dog Bites	93	6	79.8	KEEP	    "when it feels organic - for example, revisiting an unresolved disagreement, "	2afb9fb9	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0003	2026-03-13T20:50:25.962060+00:00	Jalapeño Corn Dog Bites	93	5	75.8	DISCARD	    "- If a disagreement was NOT resolved, end with 'Still open: [the question]'\n"	1c118609	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0004	2026-03-13T20:51:16.599649+00:00	Jalapeño Corn Dog Bites	95	7	85.0	KEEP	    "- If a disagreement was NOT resolved, end the summary with 'Still open: [the question]'\n"	20346433	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
