"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://muffinpanrecipes.com/","text/html; charset=utf-8","200","OK","Indexable","","Muffin Pan Recipes | Editorial Cookery","38","338","Gourmet, mathematically-scaled recipes designed exclusively for muffin tins. Breakfast, Savory, and Sweet single-serving meals.","127","787","","0","Muffin Pan Recipes","18","Recipes","7","","0","","","","https://muffinpanrecipes.com/","","","","","","16777","5121","5121","0.759","","19","6","3.167","83.400","Easy","1.182","0","0","","71","36","0","97.300","2","2","0","0","0","0","","","","","6a9e88d0b6f32644e9485f2d775c94ca","0.086","Thu, 03 Sep 2026 22:06:31 GMT","","","","en","1.1","","","","","","https://muffinpanrecipes.com/","2026-09-04 15:34:08"
"https://muffinpanrecipes.com/assets/site.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.186","Thu, 03 Sep 2026 11:37:18 GMT","","","","","1.1","","","","","","https://muffinpanrecipes.com/assets/site.css","2026-09-04 15:34:09"
"https://muffinpanrecipes.com/recipes","text/html; charset=utf-8","200","OK","Indexable","","All Muffin Pan Recipes","22","201","Browse every muffin-pan recipe — gourmet, mathematically-scaled single-serving Breakfast, Savory, Sweet, and Party bakes.","121","767","","0","All Muffin Pan Recipes","22","Breakfast","9","Savory","6","","","","https://muffinpanrecipes.com/recipes","","","","","","25514","6145","6145","0.911","","1479","188","7.867","66.258","Normal","36.699","1","0","","1","1","0","2.700","35","35","0","0","0","0","","","","","dc56143464ea4215a965ba0d11108952","2.049","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes","2026-09-04 15:34:09"
"https://muffinpanrecipes.com/this-week","text/html; charset=utf-8","200","OK","Indexable","","Greek Spanakopita Cups | Muffin Pan Recipes","43","407","These spanakopita cups wrap garlicky spinach, scallions, and tangy feta inside crisp, buttery layers of phyllo that mold perfectly to the muffin wells.…","152","915","","0","Greek Spanakopita Cups","22","Why Muffin Pans?","16","How This Recipe Was Made","24","","","","","","","","","","36369","7680","7680","1.138","","2113","342","6.178","92.021","Very Easy","32.863","1","0","","2","2","0","5.410","7","6","0","0","0","0","","","","","f4b8a3c10cf529306d095afd210fb924","0.378","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/this-week","2026-09-04 15:34:09"
"https://muffinpanrecipes.com/blob-images/e7956950/round_1/macro_closeup.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3819793","3819793","3819793","566.093","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.207","Fri, 04 Sep 2026 19:14:06 GMT","","","","","1.1","","","","","","https://muffinpanrecipes.com/blob-images/e7956950/round_1/macro_closeup.png","2026-09-04 15:34:11"
"https://muffinpanrecipes.com/blob-images/e7956950/round_1/overhead_flatlay.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","4285730","4285730","4285730","635.145","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.187","Fri, 04 Sep 2026 19:14:06 GMT","","","","","1.1","","","","","","https://muffinpanrecipes.com/blob-images/e7956950/round_1/overhead_flatlay.png","2026-09-04 15:34:11"
"https://muffinpanrecipes.com/blob-images/e7956950.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3819793","3819793","3819793","566.093","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.211","Fri, 04 Sep 2026 19:14:06 GMT","","","","","1.1","","","","","","https://muffinpanrecipes.com/blob-images/e7956950.png","2026-09-04 15:34:11"
"https://muffinpanrecipes.com/blob-images/e7956950/round_1/hero_threequarter.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","4054582","4054582","4054582","600.889","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.169","Fri, 04 Sep 2026 19:14:07 GMT","","","","","1.1","","","","","","https://muffinpanrecipes.com/blob-images/e7956950/round_1/hero_threequarter.png","2026-09-04 15:34:12"
"https://muffinpanrecipes.com/recipes/maple-hash-brown-nests","text/html; charset=utf-8","200","OK","Indexable","","Maple Hash Brown Nests | Muffin Pan Recipes","43","412","These maple-scented hash brown nests bake up into crisp-edged, tender-centered portions that stay delicious for days. Shredded potatoes form a golden crust that cradles savory breakfast pork, peppers, and a just-set egg layer. They're sturdy enough to grab on busy mornings, but nuanced enough in flavor that you'll still look forward to them by Thursday.","355","2195","","0","Maple Hash Brown Nests","22","Why Muffin Pans?","16","How This Recipe Was Made","24","","","","https://muffinpanrecipes.com/recipes/maple-hash-brown-nests","","","","","","40347","7458","7458","1.105","","1847","319","5.790","94.006","Very Easy","25.993","2","1","","6","6","0","16.220","7","6","0","0","0","0","","","","","670df1092cd247e0f635f44b4d0c67ff","0.633","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/maple-hash-brown-nests","2026-09-04 15:34:11"
"https://muffinpanrecipes.com/recipes/roasted-broccoli-egg-cups","text/html; charset=utf-8","200","OK","Indexable","","Roasted Broccoli Egg Cups | Muffin Pan Recipes","46","425","Tender baked egg cups packed with sharp cheese, roasted broccoli, and a touch of smoked paprika for warmth. They're richly savory, beautifully set, and just as appealing at a leisurely brunch as they are straight from the fridge.","229","1395","","0","Roasted Broccoli Egg Cups","25","Why Muffin Pans?","16","How This Recipe Was Made","24","","","","https://muffinpanrecipes.com/recipes/roasted-broccoli-egg-cups","","","","","","43665","7846","7846","1.163","","2033","345","5.893","93.533","Very Easy","26.490","2","1","","3","3","0","8.110","7","6","0","0","0","0","","","","","1df3aae192f8cb5f4a6ea9d749b70530","0.952","","","","","en","1.1","","","","","","https://muffinpanrecipes.com/recipes/roasted-broccoli-egg-cups","2026-09-04 15:34:11"
